iter	Passed	Remaining
1209	18770	12254
1210	18784	12238
1211	18799	12222
1212	18813	12206
1213	18828	12190
1214	18842	12174
1215	18857	12158
1216	18873	12142
1217	18891	12129
1218	18909	12115
1219	18926	12100
1220	18942	12085
1221	18959	12070
1222	18974	12055
1223	18991	12040
1224	19006	12024
1225	19025	12011
1226	19041	11995
1227	19057	11980
1228	19072	11965
1229	19089	11950
1230	19107	11936
1231	19124	11921
1232	19140	11906
1233	19156	11891
1234	19171	11875
1235	19188	11860
1236	19206	11846
1237	19221	11831
1238	19238	11816
1239	19256	11802
1240	19272	11787
1241	19288	11771
1242	19305	11757
1243	19324	11743
1244	19339	11727
1245	19355	11712
1246	19369	11696
1247	19385	11681
1248	19400	11665
1249	19415	11649
1250	19429	11632
1251	19445	11617
1252	19463	11603
1253	19480	11588
1254	19495	11572
1255	19509	11556
1256	19526	11541
1257	19542	11526
1258	19557	11510
1259	19572	11494
1260	19588	11479
1261	19604	11464
1262	19619	11448
1263	19633	11432
1264	19648	11416
1265	19661	11399
1266	19677	11383
1267	19692	11368
1268	19707	11352
1269	19722	11336
1270	19739	11321
1271	19754	11305
1272	19768	11289
1273	19783	11273
1274	19800	11259
1275	19816	11243
1276	19831	11227
1277	19844	11211
1278	19860	11195
1279	19875	11179
1280	19890	11164
1281	19905	11148
1282	19919	11132
1283	19940	11119
1284	19957	11104
1285	19976	11091
1286	19992	11076
1287	20008	11060
1288	20023	11044
1289	20039	11029
1290	20057	11015
1291	20073	10999
1292	20089	10984
1293	20104	10968
1294	20122	10954
1295	20139	10939
1296	20154	10924
1297	20169	10908
1298	20183	10891
1299	20198	10876
1300	20213	10860
1301	20228	10844
1302	20243	10828
1303	20257	10812
1304	20271	10796
1305	20286	10779
1306	20301	10764
1307	20316	10748
1308	20331	10732
1309	20354	10721
1310	20385	10713
1311	20415	10705
1312	20436	10692
1313	20454	10678
1314	20469	10662
1315	20483	10646
1316	20499	10631
1317	20514	10615
1318	20529	10599
1319	20547	10584
1320	20563	10569
1321	20578	10553
1322	20593	10538
1323	20608	10522
1324	20623	10506
1325	20638	10490
1326	20676	10486
1327	20699	10474
1328	20719	10461
1329	20740	10448
1330	20759	10434
1331	20777	10419
1332	20793	10404
1333	20812	10390
1334	20827	10374
1335	20842	10358
1336	20856	10342
1337	20871	10326
1338	20887	10310
1339	20901	10294
1340	20919	10280
1341	20937	10265
1342	20956	10252
1343	20975	10238
1344	20992	10223
1345	21008	10207
1346	21023	10191
1347	21037	10175
1348	21051	10159
1349	21066	10143
1350	21081	10127
1351	21096	10111
1352	21111	10095
1353	21126	10079
1354	21140	10063
1355	21156	10047
1356	21173	10032
1357	21189	10017
1358	21206	10002
1359	21222	9986
1360	21238	9971
1361	21252	9955
1362	21267	9939
1363	21281	9923
1364	21295	9906
1365	21310	9890
1366	21325	9874
1367	21340	9858
1368	21354	9842
1369	21369	9826
1370	21385	9811
1371	21400	9795
1372	21416	9779
1373	21431	9764
1374	21446	9748
1375	21461	9732
1376	21475	9716
1377	21491	9700
1378	21506	9684
1379	21521	9669
1380	21537	9653
1381	21553	9638
1382	21567	9622
1383	21581	9605
1384	21595	9589
1385	21611	9573
1386	21627	9558
1387	21642	9542
1388	21657	9526
1389	21672	9510
1390	21687	9495
1391	21703	9479
1392	21719	9464
1393	21734	9448
1394	21749	9432
1395	21765	9417
1396	21780	9401
1397	21794	9385
1398	21809	9369
1399	21824	9353
1400	21841	9338
1401	21857	9322
1402	21872	9307
1403	21886	9291
1404	21901	9274
1405	21916	9259
1406	21930	9243
1407	21945	9227
1408	21960	9211
1409	21974	9194
1410	21987	9178
1411	22002	9162
1412	22015	9145
1413	22031	9130
1414	22048	9115
1415	22063	9099
1416	22078	9083
1417	22093	9067
1418	22108	9052
1419	22123	9036
1420	22139	9021
1421	22155	9005
1422	22169	8989
1423	22183	8973
1424	22199	8957
1425	22214	8941
1426	22228	8925
1427	22243	8909
1428	22262	8895
1429	22276	8879
1430	22291	8863
1431	22306	8847
1432	22334	8837
1433	22365	8827
1434	22380	8811
1435	22394	8795
1436	22409	8779
1437	22425	8764
1438	22439	8748
1439	22455	8732
1440	22472	8717
1441	22487	8701
1442	22502	8685
1443	22516	8669
1444	22531	8654
1445	22546	8638
1446	22564	8623
1447	22579	8607
1448	22594	8591
1449	22609	8575
1450	22623	8559
1451	22640	8544
1452	22656	8529
1453	22671	8513
1454	22687	8498
1455	22703	8482
1456	22720	8467
1457	22738	8452
1458	22752	8436
1459	22766	8420
1460	22783	8405
1461	22798	8389
1462	22813	8373
1463	22828	8358
1464	22845	8342
1465	22863	8328
1466	22879	8312
1467	22897	8298
1468	22912	8282
1469	22928	8266
1470	22944	8251
1471	22960	8235
1472	22975	8219
1473	22990	8204
1474	23005	8188
1475	23020	8172
1476	23036	8157
1477	23052	8141
1478	23069	8126
1479	23083	8110
1480	23098	8094
1481	23113	8078
1482	23127	8062
1483	23146	8048
1484	23162	8032
1485	23176	8016
1486	23191	8000
1487	23207	7985
1488	23225	7970
1489	23243	7955
1490	23266	7942
1491	23285	7928
1492	23299	7912
1493	23314	7896
1494	23329	7880
1495	23345	7865
1496	23360	7849
1497	23378	7834
1498	23395	7819
1499	23411	7803
1500	23429	7789
1501	23448	7774
1502	23466	7759
1503	23483	7744
1504	23498	7728
1505	23516	7713
1506	23535	7699
1507	23553	7684
1508	23570	7669
1509	23584	7653
1510	23598	7637
1511	23612	7621
1512	23628	7605
1513	23645	7590
1514	23662	7575
1515	23678	7559
1516	23693	7543
1517	23709	7528
1518	23724	7512
1519	23738	7496
1520	23754	7480
1521	23769	7465
1522	23784	7449
1523	23802	7434
1524	23817	7418
1525	23832	7402
1526	23847	7387
1527	23863	7371
1528	23878	7355
1529	23894	7340
1530	23909	7324
1531	23922	7308
1532	23938	7292
1533	23952	7276
1534	23967	7260
1535	23981	7244
1536	23995	7228
1537	24010	7212
1538	24026	7196
1539	24039	7180
1540	24055	7165
1541	24076	7151
1542	24108	7140
1543	24127	7125
1544	24142	7109
1545	24156	7093
1546	24172	7078
1547	24186	7062
1548	24205	7047
1549	24220	7031
1550	24235	7015
1551	24253	7001
1552	24270	6985
1553	24288	6970
1554	24303	6955
1555	24318	6939
1556	24333	6923
1557	24348	6907
1558	24364	6891
1559	24379	6876
1560	24393	6860
1561	24408	6844
1562	24422	6828
1563	24436	6812
1564	24450	6796
1565	24465	6780
1566	24479	6764
1567	24496	6749
1568	24511	6733
1569	24526	6717
1570	24539	6701
1571	24553	6685
1572	24568	6669
1573	24583	6653
1574	24598	6637
1575	24613	6621
1576	24628	6606
1577	24643	6590
1578	24657	6574
1579	24672	6558
1580	24688	6543
1581	24705	6527
1582	24722	6512
1583	24737	6496
1584	24751	6480
1585	24766	6464
